County,State,Commodity,Value
Adair,MO,Beans,4.0
Adair,MO,Beets,2.0
Adair,MO,Broccoli,2.0
Adair,MO,Cabbage,4.0
Adair,MO,Cucumbers,4.0
Adair,MO,Daikon,2.0
Adair,MO,Eggplant,2.0
Adair,MO,Garlic,2.0
Adair,MO,Greens,6.0
Adair,MO,Herbs,2.0
Adair,MO,Lettuce,4.0
Adair,MO,Melons,6.0
Adair,MO,Okra,2.0
Adair,MO,Onions,6.0
Adair,MO,Parsley,2.0
Adair,MO,Peas,4.0
Adair,MO,Peppers,8.0
Adair,MO,Potatoes,4.0
Adair,MO,Pumpkins,10.0
Adair,MO,Radishes,2.0
Adair,MO,Spinach,4.0
Adair,MO,Squash,10.0
Adair,MO,Sweet corn,8.0
Adair,MO,Sweet potatoes,2.0
Adair,MO,Tomatoes,12.0
Adair,MO,Turnips,4.0
Adair,MO,Vegetable totals,79.0
Adair,OK,Beans,4.0
Adair,OK,Cucumbers,4.0
Adair,OK,Melons,2.0
Adair,OK,Potatoes,10.0
Adair,OK,Sweet corn,4.0
Adair,OK,Tomatoes,4.0
Adair,OK,Vegetable totals,99114.0
Adams,CO,Beans,4.0
Adams,CO,Beets,2.0
Adams,CO,Cabbage,8.0
Adams,CO,Carrots,4.0
Adams,CO,Cauliflower,2.0
Adams,CO,Cucumbers,4.0
Adams,CO,Eggplant,4.0
Adams,CO,Greens,16.0
Adams,CO,Herbs,16.0
Adams,CO,Lettuce,4.0
Adams,CO,Melons,2.0
Adams,CO,Onions,6.0
Adams,CO,Parsley,2.0
Adams,CO,Peppers,4.0
Adams,CO,Potatoes,4.0
Adams,CO,Pumpkins,68.0
Adams,CO,Rhubarb,48.0
Adams,CO,Spinach,18.0
Adams,CO,Squash,160.0
Adams,CO,Sweet corn,97.0
Adams,CO,Tomatoes,45.0
Adams,CO,Turnips,14.0
Adams,CO,Vegetable totals,2115583.0
Adams,CO,"Vegetables, other",98.0
Adams,ID,Beans,6.0
Adams,ID,Beets,6.0
Adams,ID,Garlic,6.0
Adams,ID,Greens,6.0
Adams,ID,Herbs,6.0
Adams,ID,Lettuce,30.0
Adams,ID,Melons,6.0
Adams,ID,Onions,12.0
Adams,ID,Parsley,6.0
Adams,ID,Peas,6.0
Adams,ID,Peppers,10.0
Adams,ID,Potatoes,6.0
Adams,ID,Pumpkins,6.0
Adams,ID,Radishes,6.0
Adams,ID,Rhubarb,6.0
Adams,ID,Spinach,6.0
Adams,ID,Squash,12.0
Adams,ID,Sweet corn,12.0
Adams,ID,Tomatoes,12.0
Adams,ID,Vegetable totals,52.0
Adams,IL,Asparagus,2.0
Adams,IL,Beans,4.0
Adams,IL,Melons,22.0
Adams,IL,Peppers,2.0
Adams,IL,Potatoes,2.0
Adams,IL,Pumpkins,40.0
Adams,IL,Squash,8.0
Adams,IL,Sweet corn,36.0
Adams,IL,Sweet potatoes,4.0
Adams,IL,Tomatoes,24.0
Adams,IL,Turnips,4.0
Adams,IL,Vegetable totals,230.0
Adams,IN,Beans,16.0
Adams,IN,Beets,2.0
Adams,IN,Broccoli,8.0
Adams,IN,Cabbage,18.0
Adams,IN,Cauliflower,10.0
Adams,IN,Cucumbers,28.0
Adams,IN,Eggplant,4.0
Adams,IN,Garlic,8.0
Adams,IN,Melons,70.0
Adams,IN,Okra,4.0
Adams,IN,Onions,20.0
Adams,IN,Peppers,12.0
Adams,IN,Potatoes,20.0
Adams,IN,Pumpkins,148.0
Adams,IN,Rhubarb,2.0
Adams,IN,Squash,52.0
Adams,IN,Sweet corn,26.0
Adams,IN,Tomatoes,19.0
Adams,IN,Vegetable totals,340454.0
Adams,IN,"Vegetables, other",14.0
Adams,IA,Melons,14.0
Adams,IA,Vegetable totals,33.0
Adams,MS,Tomatoes,2.0
Adams,MS,Vegetable totals,5.0
Adams,NE,Asparagus,2.0
Adams,NE,Beans,2.0
Adams,NE,Beets,2.0
Adams,NE,Cucumbers,2.0
Adams,NE,Eggplant,2.0
Adams,NE,Melons,4.0
Adams,NE,Onions,4.0
Adams,NE,Peppers,4.0
Adams,NE,Potatoes,6.0
Adams,NE,Pumpkins,2.0
Adams,NE,Radishes,4.0
Adams,NE,Sweet corn,6.0
Adams,NE,Tomatoes,2.0
Adams,NE,Vegetable totals,29.0
Adams,OH,Beans,29.0
Adams,OH,Cabbage,12.0
Adams,OH,Cucumbers,17.0
Adams,OH,Greens,4.0
Adams,OH,Lettuce,12.0
Adams,OH,Melons,18.0
Adams,OH,Onions,20.0
Adams,OH,Potatoes,12.0
Adams,OH,Pumpkins,86.0
Adams,OH,Radishes,2.0
Adams,OH,Squash,46.0
Adams,OH,Sweet corn,22.0
Adams,OH,Tomatoes,13.0
Adams,OH,Turnips,4.0
Adams,OH,Vegetable totals,123221.0
Adams,OH,"Vegetables, other",2.0
Adams,PA,Asparagus,74.0
Adams,PA,Beans,315.0
Adams,PA,Beets,64.0
Adams,PA,Broccoli,70.0
Adams,PA,Brussels sprouts,32.0
Adams,PA,Cabbage,80.0
Adams,PA,Carrots,38.0
Adams,PA,Cauliflower,64.0
Adams,PA,Celery,10.0
Adams,PA,Cucumbers,90.0
Adams,PA,Eggplant,38.0
Adams,PA,Garlic,28.0
Adams,PA,Ginger root,4.0
Adams,PA,Greens,42.0
Adams,PA,Herbs,24.0
Adams,PA,Lettuce,130.0
Adams,PA,Melons,110.0
Adams,PA,Okra,10.0
Adams,PA,Onions,102.0
Adams,PA,Parsley,4.0
Adams,PA,Peas,22.0
Adams,PA,Peppers,122.0
Adams,PA,Potatoes,202.0
Adams,PA,Pumpkins,278.0
Adams,PA,Radishes,26.0
Adams,PA,Rhubarb,30.0
Adams,PA,Spinach,12.0
Adams,PA,Squash,334.0
Adams,PA,Sweet corn,160.0
Adams,PA,Sweet potatoes,38.0
Adams,PA,Tomatoes,119.0
Adams,PA,Turnips,2.0
Adams,PA,Vegetable totals,2461295.0
Adams,PA,"Vegetables, other",28.0
Adams,WA,Asparagus,2.0
Adams,WA,Beans,4.0
Adams,WA,Carrots,6.0
Adams,WA,Onions,1170.0
Adams,WA,Peas,5.0
Adams,WA,Potatoes,21832.0
Adams,WA,Squash,36.0
Adams,WA,Sweet corn,738704.0
Adams,WA,Tomatoes,4.0
Adams,WA,Vegetable totals,77103848.0
Adams,WA,"Vegetables, other",4.0
Adams,WI,Asparagus,2.0
Adams,WI,Beans,16278.0
Adams,WI,Beets,4.0
Adams,WI,Cabbage,2.0
Adams,WI,Carrots,4.0
Adams,WI,Cucumbers,5.0
Adams,WI,Greens,2.0
Adams,WI,Herbs,2.0
Adams,WI,Melons,4.0
Adams,WI,Okra,2.0
Adams,WI,Peas,4922.0
Adams,WI,Peppers,7.0
Adams,WI,Potatoes,11718.0
Adams,WI,Pumpkins,8.0
Adams,WI,Squash,20.0
Adams,WI,Sweet corn,9510.0
Adams,WI,Sweet potatoes,6.0
Adams,WI,Tomatoes,2.0
Adams,WI,Vegetable totals,63384760.0
Addison,VT,Asparagus,36.0
Addison,VT,Beans,36.0
Addison,VT,Beets,34.0
Addison,VT,Broccoli,20.0
Addison,VT,Brussels sprouts,14.0
Addison,VT,Cabbage,30.0
Addison,VT,Carrots,32.0
Addison,VT,Cauliflower,10.0
Addison,VT,Celery,6.0
Addison,VT,Chicory,6.0
Addison,VT,Cucumbers,28.0
Addison,VT,Daikon,6.0
Addison,VT,Eggplant,22.0
Addison,VT,Escarole & endive,6.0
Addison,VT,Garlic,82.0
Addison,VT,Ginger root,6.0
Addison,VT,Greens,46.0
Addison,VT,Herbs,12.0
Addison,VT,Lettuce,144.0
Addison,VT,Melons,54.0
Addison,VT,Onions,70.0
Addison,VT,Peas,24.0
Addison,VT,Peppers,49.0
Addison,VT,Potatoes,50.0
Addison,VT,Pumpkins,96.0
Addison,VT,Radishes,16.0
Addison,VT,Rhubarb,6.0
Addison,VT,Spinach,36.0
Addison,VT,Squash,124.0
Addison,VT,Sweet corn,98.0
Addison,VT,Sweet potatoes,16.0
Addison,VT,Tomatoes,105.0
Addison,VT,Turnips,6.0
Addison,VT,Vegetable totals,2624309.0
Addison,VT,"Vegetables, other",60.0
Aiken,SC,Asparagus,160.0
Aiken,SC,Beans,26.0
Aiken,SC,Carrots,2.0
Aiken,SC,Cucumbers,70.0
Aiken,SC,Eggplant,20.0
Aiken,SC,Escarole & endive,4.0
Aiken,SC,Garlic,4.0
Aiken,SC,Greens,84.0
Aiken,SC,Herbs,4.0
Aiken,SC,Lettuce,24.0
Aiken,SC,Melons,189.0
Aiken,SC,Okra,42.0
Aiken,SC,Onions,10.0
Aiken,SC,Peas,100.0
Aiken,SC,Peppers,52.0
Aiken,SC,Potatoes,24.0
Aiken,SC,Pumpkins,2.0
Aiken,SC,Radishes,12.0
Aiken,SC,Spinach,8.0
Aiken,SC,Squash,162.0
Aiken,SC,Sweet corn,95.0
Aiken,SC,Sweet potatoes,6.0
Aiken,SC,Tomatoes,120.0
Aiken,SC,Turnips,8.0
Aiken,SC,Vegetable totals,5013.0
Aiken,SC,"Vegetables, other",34.0
Aitkin,MN,Asparagus,12.0
Aitkin,MN,Beans,28.0
Aitkin,MN,Beets,4.0
Aitkin,MN,Broccoli,4.0
Aitkin,MN,Cabbage,8.0
Aitkin,MN,Carrots,22.0
Aitkin,MN,Cauliflower,4.0
Aitkin,MN,Celery,8.0
Aitkin,MN,Cucumbers,24.0
Aitkin,MN,Daikon,8.0
Aitkin,MN,Eggplant,4.0
Aitkin,MN,Greens,12.0
Aitkin,MN,Herbs,8.0
Aitkin,MN,Lettuce,42.0
Aitkin,MN,Okra,4.0
Aitkin,MN,Onions,28.0
Aitkin,MN,Peas,6.0
Aitkin,MN,Peppers,18.0
Aitkin,MN,Potatoes,46.0
Aitkin,MN,Pumpkins,14.0
Aitkin,MN,Radishes,12.0
Aitkin,MN,Rhubarb,20.0
Aitkin,MN,Spinach,8.0
Aitkin,MN,Squash,40.0
Aitkin,MN,Sweet corn,26.0
Aitkin,MN,Sweet potatoes,6.0
Aitkin,MN,Tomatoes,26.0
Aitkin,MN,Turnips,4.0
Aitkin,MN,Vegetable totals,172264.0
Aitkin,MN,"Vegetables, other",2.0
Alachua,FL,Beans,869.0
Alachua,FL,Beets,34.0
Alachua,FL,Broccoli,28.0
Alachua,FL,Cabbage,130.0
Alachua,FL,Carrots,28.0
Alachua,FL,Cauliflower,20.0
Alachua,FL,Celery,4.0
Alachua,FL,Cucumbers,40.0
Alachua,FL,Eggplant,38.0
Alachua,FL,Greens,278.0
Alachua,FL,Herbs,18.0
Alachua,FL,Lettuce,86.0
Alachua,FL,Melons,3076.0
Alachua,FL,Okra,100.0
Alachua,FL,Onions,40.0
Alachua,FL,Parsley,10.0
Alachua,FL,Peas,512.0
Alachua,FL,Peppers,54.0
Alachua,FL,Potatoes,56.0
Alachua,FL,Pumpkins,18.0
Alachua,FL,Radishes,8.0
Alachua,FL,Spinach,12.0
Alachua,FL,Squash,188.0
Alachua,FL,Sweet corn,88.0
Alachua,FL,Sweet potatoes,38.0
Alachua,FL,Tomatoes,72.0
Alachua,FL,Turnips,4.0
Alachua,FL,Vegetable totals,11102384.0
Alachua,FL,"Vegetables, other",32.0
Alamance,NC,Asparagus,16.0
Alamance,NC,Beans,43.0
Alamance,NC,Beets,18.0
Alamance,NC,Broccoli,8.0
Alamance,NC,Brussels sprouts,2.0
Alamance,NC,Cabbage,18.0
Alamance,NC,Carrots,4.0
Alamance,NC,Cauliflower,14.0
Alamance,NC,Cucumbers,53.0
Alamance,NC,Eggplant,15.0
Alamance,NC,Garlic,22.0
Alamance,NC,Ginger root,8.0
Alamance,NC,Greens,30.0
Alamance,NC,Herbs,18.0
Alamance,NC,Lettuce,46.0
Alamance,NC,Melons,26.0
Alamance,NC,Okra,30.0
Alamance,NC,Onions,6.0
Alamance,NC,Parsley,8.0
Alamance,NC,Peas,28.0
Alamance,NC,Peppers,54.0
Alamance,NC,Potatoes,13.0
Alamance,NC,Pumpkins,17.0
Alamance,NC,Radishes,12.0
Alamance,NC,Spinach,14.0
Alamance,NC,Squash,112.0
Alamance,NC,Sweet corn,179.0
Alamance,NC,Sweet potatoes,37.0
Alamance,NC,Tomatoes,57.0
Alamance,NC,Turnips,24.0
Alamance,NC,Vegetable totals,832899.0
Alamance,NC,"Vegetables, other",23.0
Alamance,NC,Watercress,2.0
Alameda,CA,Beans,6.0
Alameda,CA,Beets,18.0
Alameda,CA,Broccoli,76.0
Alameda,CA,Cabbage,4.0
Alameda,CA,Carrots,24.0
Alameda,CA,Cauliflower,140.0
Alameda,CA,Cucumbers,4.0
Alameda,CA,Daikon,4.0
Alameda,CA,Eggplant,4.0
Alameda,CA,Garlic,4.0
Alameda,CA,Greens,54.0
Alameda,CA,Herbs,42.0
Alameda,CA,Lettuce,28.0
Alameda,CA,Melons,32.0
Alameda,CA,Okra,4.0
Alameda,CA,Onions,8.0
Alameda,CA,Parsley,4.0
Alameda,CA,Peas,12.0
Alameda,CA,Peppers,20.0
Alameda,CA,Radishes,28.0
Alameda,CA,Spinach,30.0
Alameda,CA,Squash,140.0
Alameda,CA,Sweet corn,30.0
Alameda,CA,Tomatoes,50.0
Alameda,CA,Turnips,28.0
Alameda,CA,Vegetable totals,1778657.0
Alameda,CA,"Vegetables, other",24.0
Alamosa,CO,Beans,2.0
Alamosa,CO,Beets,2.0
Alamosa,CO,Carrots,2.0
Alamosa,CO,Potatoes,15456.0
Alamosa,CO,Tomatoes,2.0
Alamosa,CO,Vegetable totals,49560404.0
Albany,NY,Asparagus,2.0
Albany,NY,Beans,112.0
Albany,NY,Beets,16.0
Albany,NY,Broccoli,16.0
Albany,NY,Cabbage,41.0
Albany,NY,Carrots,12.0
Albany,NY,Cauliflower,4.0
Albany,NY,Cucumbers,46.0
Albany,NY,Eggplant,21.0
Albany,NY,Garlic,28.0
Albany,NY,Greens,26.0
Albany,NY,Herbs,4.0
Albany,NY,Lettuce,96.0
Albany,NY,Melons,34.0
Albany,NY,Okra,4.0
Albany,NY,Onions,38.0
Albany,NY,Parsley,6.0
Albany,NY,Peppers,80.0
Albany,NY,Potatoes,36.0
Albany,NY,Pumpkins,410.0
Albany,NY,Radishes,6.0
Albany,NY,Spinach,8.0
Albany,NY,Squash,192.0
Albany,NY,Sweet corn,842.0
Albany,NY,Tomatoes,158.0
Albany,NY,Vegetable totals,2945693.0
Albany,NY,"Vegetables, other",260.0
Albany,WY,Asparagus,2.0
Albany,WY,Beans,2.0
Albany,WY,Beets,2.0
Albany,WY,Carrots,2.0
Albany,WY,Herbs,2.0
Albany,WY,Lettuce,12.0
Albany,WY,Onions,2.0
Albany,WY,Peas,2.0
Albany,WY,Potatoes,2.0
Albany,WY,Spinach,6.0
Albany,WY,Sweet corn,2.0
Albany,WY,Vegetable totals,25.0
Albemarle,VA,Artichokes,14.0
Albemarle,VA,Asparagus,20.0
Albemarle,VA,Beans,44.0
Albemarle,VA,Beets,46.0
Albemarle,VA,Broccoli,46.0
Albemarle,VA,Brussels sprouts,2.0
Albemarle,VA,Cabbage,58.0
Albemarle,VA,Carrots,38.0
Albemarle,VA,Cauliflower,26.0
Albemarle,VA,Celery,8.0
Albemarle,VA,Chicory,8.0
Albemarle,VA,Cucumbers,37.0
Albemarle,VA,Eggplant,44.0
Albemarle,VA,Escarole & endive,8.0
Albemarle,VA,Garlic,16.0
Albemarle,VA,Ginger root,12.0
Albemarle,VA,Greens,48.0
Albemarle,VA,Herbs,52.0
Albemarle,VA,Lettuce,160.0
Albemarle,VA,Melons,30.0
Albemarle,VA,Okra,42.0
Albemarle,VA,Onions,62.0
Albemarle,VA,Parsley,20.0
Albemarle,VA,Peas,42.0
Albemarle,VA,Peppers,104.0
Albemarle,VA,Potatoes,46.0
Albemarle,VA,Pumpkins,50.0
Albemarle,VA,Radishes,48.0
Albemarle,VA,Rhubarb,4.0
Albemarle,VA,Spinach,18.0
Albemarle,VA,Squash,120.0
Albemarle,VA,Sweet corn,30.0
Albemarle,VA,Sweet potatoes,46.0
Albemarle,VA,Tomatoes,88.0
Albemarle,VA,Turnips,32.0
Albemarle,VA,Vegetable totals,557511.0
Albemarle,VA,"Vegetables, other",10.0
Alcona,MI,Asparagus,4.0
Alcona,MI,Beans,13.0
Alcona,MI,Beets,4.0
Alcona,MI,Broccoli,4.0
Alcona,MI,Cabbage,4.0
Alcona,MI,Carrots,4.0
Alcona,MI,Cucumbers,13.0
Alcona,MI,Eggplant,4.0
Alcona,MI,Greens,4.0
Alcona,MI,Lettuce,8.0
Alcona,MI,Onions,4.0
Alcona,MI,Peas,4.0
Alcona,MI,Peppers,10.0
Alcona,MI,Pumpkins,20.0
Alcona,MI,Radishes,12.0
Alcona,MI,Squash,57.0
Alcona,MI,Sweet corn,15.0
Alcona,MI,Tomatoes,13.0
Alcona,MI,Vegetable totals,69128.0
Alcorn,MS,Beans,46.0
Alcorn,MS,Cabbage,4.0
Alcorn,MS,Cucumbers,34.0
Alcorn,MS,Melons,102.0
Alcorn,MS,Okra,42.0
Alcorn,MS,Onions,8.0
Alcorn,MS,Peas,40.0
Alcorn,MS,Peppers,36.0
Alcorn,MS,Pumpkins,26.0
Alcorn,MS,Squash,64.0
Alcorn,MS,Sweet corn,70.0
Alcorn,MS,Tomatoes,42.0
Alcorn,MS,Vegetable totals,790332.0
Alcorn,MS,"Vegetables, other",2.0
Aleutian islands,AK,Beans,4.0
Aleutian islands,AK,Beets,4.0
Aleutian islands,AK,Broccoli,8.0
Aleutian islands,AK,Brussels sprouts,4.0
Aleutian islands,AK,Cabbage,14.0
Aleutian islands,AK,Carrots,10.0
Aleutian islands,AK,Cauliflower,8.0
Aleutian islands,AK,Celery,2.0
Aleutian islands,AK,Cucumbers,8.0
Aleutian islands,AK,Greens,10.0
Aleutian islands,AK,Herbs,4.0
Aleutian islands,AK,Lettuce,32.0
Aleutian islands,AK,Onions,6.0
Aleutian islands,AK,Parsley,6.0
Aleutian islands,AK,Peas,8.0
Aleutian islands,AK,Peppers,4.0
Aleutian islands,AK,Potatoes,32.0
Aleutian islands,AK,Radishes,6.0
Aleutian islands,AK,Rhubarb,2.0
Aleutian islands,AK,Spinach,6.0
Aleutian islands,AK,Squash,24.0
Aleutian islands,AK,Sweet corn,2.0
Aleutian islands,AK,Tomatoes,2.0
Aleutian islands,AK,Turnips,8.0
Aleutian islands,AK,Vegetable totals,134.0
Aleutian islands,AK,"Vegetables, other",18.0
Alexander,NC,Beans,7.0
Alexander,NC,Cabbage,10.0
Alexander,NC,Cucumbers,20.0
Alexander,NC,Eggplant,2.0
Alexander,NC,Garlic,2.0
Alexander,NC,Greens,2.0
Alexander,NC,Horseradish,2.0
Alexander,NC,Melons,6.0
Alexander,NC,Okra,4.0
Alexander,NC,Onions,16.0
Alexander,NC,Peas,18.0
Alexander,NC,Peppers,16.0
Alexander,NC,Potatoes,16.0
Alexander,NC,Squash,36.0
Alexander,NC,Sweet corn,40.0
Alexander,NC,Tomatoes,38.0
Alexander,NC,Vegetable totals,1137433.0
Alger,MI,Asparagus,30.0
Alger,MI,Beans,45.0
Alger,MI,Beets,18.0
Alger,MI,Broccoli,10.0
Alger,MI,Brussels sprouts,16.0
Alger,MI,Cabbage,33.0
Alger,MI,Carrots,24.0
Alger,MI,Cauliflower,2.0
Alger,MI,Celery,2.0
Alger,MI,Cucumbers,26.0
Alger,MI,Eggplant,11.0
Alger,MI,Garlic,21.0
Alger,MI,Ginger root,2.0
Alger,MI,Greens,20.0
Alger,MI,Herbs,18.0
Alger,MI,Lettuce,96.0
Alger,MI,Melons,25.0
Alger,MI,Onions,42.0
Alger,MI,Parsley,6.0
Alger,MI,Peas,25.0
Alger,MI,Peppers,56.0
Alger,MI,Potatoes,43.0
Alger,MI,Pumpkins,12.0
Alger,MI,Radishes,22.0
Alger,MI,Rhubarb,24.0
Alger,MI,Spinach,16.0
Alger,MI,Squash,64.0
Alger,MI,Sweet corn,12.0
Alger,MI,Tomatoes,26.0
Alger,MI,Turnips,11.0
Alger,MI,Vegetable totals,237358.0
Alger,MI,"Vegetables, other",15.0
Allamakee,IA,Beans,2.0
Allamakee,IA,Beets,2.0
Allamakee,IA,Cucumbers,2.0
Allamakee,IA,Daikon,2.0
Allamakee,IA,Garlic,8.0
Allamakee,IA,Greens,2.0
Allamakee,IA,Herbs,2.0
Allamakee,IA,Lettuce,4.0
Allamakee,IA,Melons,2.0
Allamakee,IA,Onions,6.0
Allamakee,IA,Parsley,2.0
Allamakee,IA,Potatoes,2.0
Allamakee,IA,Pumpkins,4.0
Allamakee,IA,Radishes,2.0
Allamakee,IA,Rhubarb,2.0
Allamakee,IA,Squash,8.0
Allamakee,IA,Sweet corn,6.0
Allamakee,IA,Tomatoes,4.0
Allamakee,IA,Vegetable totals,85120.0
Allegan,MI,Asparagus,49.0
Allegan,MI,Beans,67.0
Allegan,MI,Beets,18.0
Allegan,MI,Broccoli,19.0
Allegan,MI,Brussels sprouts,2.0
Allegan,MI,Cabbage,18.0
Allegan,MI,Carrots,6.0
Allegan,MI,Cauliflower,4.0
Allegan,MI,Celery,851.0
Allegan,MI,Cucumbers,2292.0
Allegan,MI,Eggplant,22.0
Allegan,MI,Garlic,11.0
Allegan,MI,Greens,36.0
Allegan,MI,Herbs,6.0
Allegan,MI,Lettuce,30.0
Allegan,MI,Melons,48.0
Allegan,MI,Okra,4.0
Allegan,MI,Onions,422.0
Allegan,MI,Parsley,6.0
Allegan,MI,Peas,12.0
Allegan,MI,Peppers,75.0
Allegan,MI,Potatoes,26.0
Allegan,MI,Pumpkins,488.0
Allegan,MI,Radishes,6.0
Allegan,MI,Rhubarb,16.0
Allegan,MI,Spinach,4.0
Allegan,MI,Squash,1896.0
Allegan,MI,Sweet corn,844.0
Allegan,MI,Sweet potatoes,4.0
Allegan,MI,Tomatoes,130.0
Allegan,MI,Turnips,2.0
Allegan,MI,Vegetable totals,25709799.0
Allegan,MI,"Vegetables, other",6.0
Allegany,MD,Asparagus,8.0
Allegany,MD,Beans,22.0
Allegany,MD,Beets,2.0
Allegany,MD,Broccoli,6.0
Allegany,MD,Cabbage,6.0
Allegany,MD,Cucumbers,12.0
Allegany,MD,Eggplant,6.0
Allegany,MD,Greens,4.0
Allegany,MD,Lettuce,22.0
Allegany,MD,Melons,20.0
Allegany,MD,Okra,4.0
Allegany,MD,Onions,8.0
Allegany,MD,Peas,2.0
Allegany,MD,Peppers,26.0
Allegany,MD,Potatoes,14.0
Allegany,MD,Pumpkins,4.0
Allegany,MD,Radishes,2.0
Allegany,MD,Rhubarb,2.0
Allegany,MD,Spinach,4.0
Allegany,MD,Squash,26.0
